
0,49,177,
1,51,178,
3,53,179,
4,55,181,
5,58,182,
7,60,183,
8,62,184,
9,64,186,
10,67,187,
12,69,188,
13,71,189,
14,73,191,
16,76,192,
17,78,193,
18,80,194,
20,82,195,
21,85,197,
22,87,198,
24,89,199,
25,92,200,
26,94,202,
27,96,203,
29,98,204,
30,101,205,
31,103,207,
33,105,208,
34,107,209,
35,110,210,
37,112,212,
38,114,213,
39,116,214,
41,119,215,
42,121,217,
43,123,218,
45,125,219,
46,128,220,
47,130,221,
48,132,223,
50,134,224,
51,137,225,
52,139,226,
54,141,228,
55,143,229,
56,146,230,
58,148,231,
59,150,233,
60,152,234,
62,155,235,
63,157,236,
64,159,238,
65,161,239,
67,164,240,
68,166,241,
69,168,242,
71,170,244,
72,173,245,
73,175,246,
75,177,247,
76,179,249,
77,182,250,
79,184,251,
80,186,252,
81,188,254,
82,191,255,
83,193,255,
83,193,253,
83,194,250,
83,195,248,
83,195,245,
83,196,242,
83,197,240,
83,198,237,
83,198,235,
83,199,232,
83,200,230,
83,201,227,
83,201,225,
82,202,222,
82,203,219,
82,203,217,
82,204,214,
82,205,212,
82,206,209,
82,206,207,
82,207,204,
82,208,202,
82,209,199,
82,209,197,
82,210,194,
82,211,192,
82,212,189,
81,212,186,
81,213,184,
81,214,181,
81,214,179,
81,215,176,
81,216,174,
81,217,171,
81,217,169,
81,218,166,
81,219,164,
81,219,161,
81,220,158,
81,221,156,
81,222,153,
80,222,151,
80,223,148,
80,224,146,
80,225,143,
80,225,141,
80,226,138,
80,227,136,
80,227,133,
80,228,130,
80,229,128,
80,230,125,
80,230,123,
80,231,120,
80,232,118,
79,233,115,
79,233,113,
79,234,110,
79,235,107,
79,236,105,
79,236,102,
79,237,100,
79,238,97,
79,238,95,
80,239,93,
83,239,93,
86,239,92,
89,238,91,
91,238,91,
94,238,90,
97,238,89,
100,238,89,
102,238,88,
105,238,87,
108,238,87,
111,238,86,
114,237,85,
116,237,84,
119,237,84,
122,237,83,
125,237,82,
127,237,82,
130,237,81,
133,237,81,
136,237,80,
138,236,79,
141,236,79,
144,236,78,
147,236,77,
150,236,77,
152,236,76,
155,236,75,
158,236,74,
161,236,74,
163,235,73,
166,235,73,
169,235,72,
172,235,71,
175,235,71,
177,235,70,
180,235,69,
183,235,68,
186,235,68,
188,234,67,
191,234,66,
194,234,66,
197,234,65,
200,234,65,
202,234,64,
205,234,63,
208,234,63,
211,234,62,
213,233,61,
216,233,61,
219,233,60,
222,233,59,
225,233,58,
227,233,58,
230,233,57,
233,233,57,
236,233,56,
238,233,55,
241,232,54,
244,232,54,
247,232,53,
250,232,52,
252,232,52,
255,232,51,
255,231,50,
255,230,50,
255,228,49,
255,227,48,
255,226,47,
255,224,46,
255,223,46,
255,222,45,
255,220,44,
255,219,43,
255,218,42,
255,217,42,
255,215,41,
255,214,40,
255,213,39,
255,211,38,
255,210,38,
255,209,37,
255,208,36,
255,206,35,
255,205,34,
255,204,34,
255,202,33,
255,201,32,
255,200,31,
255,198,30,
255,197,30,
255,196,29,
255,195,28,
255,193,27,
255,192,26,
255,191,26,
255,189,25,
255,188,24,
255,187,23,
255,185,22,
255,184,22,
255,183,21,
255,182,20,
255,180,19,
255,179,18,
255,178,18,
255,176,17,
255,175,16,
255,174,15,
255,172,14,
255,171,14,
255,170,13,
255,169,12,
255,167,11,
255,166,10,
255,165,10,
255,163,9,
255,162,8,
255,161,7,
255,160,6,
255,158,6,
255,157,5,
255,156,4,
255,154,3,
255,153,2,
255,152,2,
255,150,1,
255,149,0,
