
255,131,0,
243,135,8,
231,138,15,
219,141,23,
208,144,30,
196,147,38,
184,151,45,
172,154,53,
160,156,61,
150,158,70,
140,159,79,
130,160,88,
119,161,97,
109,162,106,
99,164,115,
89,165,124,
80,165,132,
72,165,140,
64,165,148,
56,164,157,
48,164,165,
41,164,173,
33,163,181,
25,163,189,
21,159,197,
18,154,206,
15,149,214,
12,143,222,
9,138,231,
6,133,239,
3,127,247,
0,122,255,

